Test,Name,Yield,Min,Target,Max,Mean,right mean,Cpk,Errors
Yield Estimate: 100 %(200 passed/200 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
S1,,,,,,,,,
,1-000,100% (200/200),3.37E-08,info,1.08E-06,1.79E-07,178.7,,0
,'100,100% (200/200),3.30E-08,info,1.20E-06,1.93E-07,193.2,,0
,'010,100% (200/200),3.24E-08,info,1.14E-06,1.84E-07,183.5,,0
,'110,100% (200/200),4.13E-08,info,1.38E-06,2.19E-07,218.7,,0
,'001,100% (200/200),3.72E-08,info,1.18E-06,1.94E-07,194.3,,0
,'101,100% (200/200),3.86E-08,info,1.45E-06,2.25E-07,224.7,,0
,'011,100% (200/200),3.63E-08,info,1.32E-06,2.05E-07,204.7,,0
,'111,100% (200/200),3.95E-08,info,1.34E-06,2.09E-07,209.4,,0
S2,,,,,,,0,,
,'00000,100% (200/200),2.41E-08,info,8.23E-07,1.30E-07,129.6,,0
,'10000,100% (200/200),2.08E-08,info,8.29E-07,1.27E-07,127.4,,0
,'01000,100% (200/200),2.15E-08,info,8.37E-07,1.29E-07,129.2,,0
,'11000,100% (200/200),2.30E-08,info,9.00E-07,1.39E-07,138.9,,0
,'00100,100% (200/200),2.32E-08,info,8.27E-07,1.29E-07,129.1,,0
,'10100,100% (200/200),2.05E-08,info,8.36E-07,1.29E-07,128.6,,0
,'01100,100% (200/200),2.55E-08,info,8.77E-07,1.35E-07,135.1,,0
,'11100,100% (200/200),2.37E-08,info,9.33E-07,1.39E-07,138.8,,0
,'00010,100% (200/200),2.78E-08,info,8.88E-07,1.45E-07,144.5,,0
,'10010,100% (200/200),2.05E-08,info,7.68E-07,1.22E-07,122.3,,0
,'01010,100% (200/200),2.11E-08,info,7.75E-07,1.24E-07,124,,0
,'11010,100% (200/200),2.26E-08,info,8.28E-07,1.30E-07,129.5,,0
,'00110,100% (200/200),2.27E-08,info,7.66E-07,1.24E-07,123.9,,0
,'10110,100% (200/200),2.01E-08,info,7.75E-07,1.23E-07,123.4,,0
,'01110,100% (200/200),2.76E-08,info,1.01E-06,1.53E-07,153.3,,0
,'11110,100% (200/200),2.34E-08,info,9.40E-07,1.40E-07,139.9,,0
,'00001,100% (200/200),2.56E-08,info,8.86E-07,1.39E-07,139.3,,0
,'10001,100% (200/200),2.08E-08,info,8.29E-07,1.27E-07,127.4,,0
,'01001,100% (200/200),2.15E-08,info,8.37E-07,1.29E-07,129.2,,0
,'11001,100% (200/200),2.30E-08,info,9.00E-07,1.39E-07,138.9,,0
,'00101,100% (200/200),2.32E-08,info,8.27E-07,1.29E-07,129.1,,0
,'10101,100% (200/200),2.05E-08,info,8.36E-07,1.29E-07,128.6,,0
,'01101,100% (200/200),2.61E-08,info,9.44E-07,1.44E-07,143.6,,0
,'11101,100% (200/200),2.34E-08,info,9.40E-07,1.40E-07,139.9,,0
,'00011,100% (200/200),2.89E-08,info,8.78E-07,1.49E-07,149.2,,0
,'10011,100% (200/200),2.10E-08,info,8.17E-07,1.25E-07,125.3,,0
,'01011,100% (200/200),2.15E-08,info,8.25E-07,1.27E-07,126.8,,0
,'11011,100% (200/200),2.29E-08,info,8.78E-07,1.32E-07,132.2,,0
,'00111,100% (200/200),2.30E-08,info,8.15E-07,1.27E-07,126.6,,0
,'10111,100% (200/200),2.03E-08,info,8.24E-07,1.26E-07,126,,0
,'01111,100% (200/200),2.66E-08,info,1.01E-06,1.52E-07,152,,0
,'11111,100% (200/200),2.31E-08,info,9.47E-07,1.41E-07,141,,0
S3,,,,,,,0,,
,'000,100% (200/200),2.15E-08,info,7.30E-07,1.17E-07,117,,0
,'100,100% (200/200),2.10E-08,info,7.89E-07,1.25E-07,125,,0
,'010,100% (200/200),2.07E-08,info,7.34E-07,1.18E-07,117.7,,0
,'110,100% (200/200),2.07E-08,info,7.96E-07,1.26E-07,126.1,,0
,'001,100% (200/200),1.92E-08,info,7.68E-07,1.20E-07,119.6,,0
,'101,100% (200/200),1.80E-08,info,7.16E-07,1.12E-07,112.4,,0
,'011,100% (200/200),2.39E-08,info,7.86E-07,1.26E-07,125.5,,0
,'111,100% (200/200),1.87E-08,info,7.31E-07,1.14E-07,114.2,,0
