Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
Yield Estimate: 100 %(200 passed/200 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
S1,,,,,,,,,
,1-000,100% (200/200),3.36E-08,info,1.09E-06,1.81E-07,180.8,,0
,'100,100% (200/200),3.45E-08,info,1.22E-06,1.98E-07,198,,0
,'010,100% (200/200),3.38E-08,info,1.15E-06,1.88E-07,188.4,,0
,'110,100% (200/200),4.27E-08,info,1.40E-06,2.24E-07,223.5,,0
,'001,100% (200/200),3.71E-08,info,1.19E-06,1.97E-07,196.8,,0
,'101,100% (200/200),4.00E-08,info,1.47E-06,2.30E-07,229.6,,0
,'011,100% (200/200),3.77E-08,info,1.34E-06,2.10E-07,209.5,,0
,'111,100% (200/200),4.09E-08,info,1.36E-06,2.14E-07,214.2,,0
S2,,,,,,,0,,
,'00000,100% (200/200),2.55E-08,info,8.36E-07,1.34E-07,134.4,,0
,'10000,100% (200/200),2.23E-08,info,8.43E-07,1.32E-07,132.3,,0
,'01000,100% (200/200),2.29E-08,info,8.50E-07,1.34E-07,134,,0
,'11000,100% (200/200),2.45E-08,info,9.13E-07,1.44E-07,143.8,,0
,'00100,100% (200/200),2.46E-08,info,8.41E-07,1.34E-07,133.9,,0
,'10100,100% (200/200),2.20E-08,info,8.50E-07,1.33E-07,133.4,,0
,'01100,100% (200/200),2.70E-08,info,8.91E-07,1.40E-07,139.9,,0
,'11100,100% (200/200),2.52E-08,info,9.47E-07,1.44E-07,143.7,,0
,'00010,100% (200/200),2.92E-08,info,9.01E-07,1.49E-07,149.4,,0
,'10010,100% (200/200),2.19E-08,info,7.81E-07,1.27E-07,127.1,,0
,'01010,100% (200/200),2.25E-08,info,7.89E-07,1.29E-07,128.9,,0
,'11010,100% (200/200),2.40E-08,info,8.42E-07,1.34E-07,134.3,,0
,'00110,100% (200/200),2.41E-08,info,7.79E-07,1.29E-07,128.8,,0
,'10110,100% (200/200),2.15E-08,info,7.88E-07,1.28E-07,128.3,,0
,'01110,100% (200/200),2.90E-08,info,1.02E-06,1.58E-07,158.1,,0
,'11110,100% (200/200),2.48E-08,info,9.54E-07,1.45E-07,144.8,,0
,'00001,100% (200/200),2.71E-08,info,9.00E-07,1.44E-07,144.2,,0
,'10001,100% (200/200),2.23E-08,info,8.43E-07,1.32E-07,132.3,,0
,'01001,100% (200/200),2.29E-08,info,8.50E-07,1.34E-07,134,,0
,'11001,100% (200/200),2.45E-08,info,9.13E-07,1.44E-07,143.8,,0
,'00101,100% (200/200),2.46E-08,info,8.41E-07,1.34E-07,133.9,,0
,'10101,100% (200/200),2.20E-08,info,8.50E-07,1.33E-07,133.4,,0
,'01101,100% (200/200),2.75E-08,info,9.58E-07,1.48E-07,148.4,,0
,'11101,100% (200/200),2.48E-08,info,9.54E-07,1.45E-07,144.8,,0
,'00011,100% (200/200),3.04E-08,info,8.91E-07,1.48E-07,148,,0
,'10011,100% (200/200),2.25E-08,info,8.31E-07,1.30E-07,130.1,,0
,'01011,100% (200/200),2.29E-08,info,8.38E-07,1.32E-07,131.7,,0
,'11011,100% (200/200),2.43E-08,info,8.91E-07,1.37E-07,137,,0
,'00111,100% (200/200),2.44E-08,info,8.29E-07,1.31E-07,131.4,,0
,'10111,100% (200/200),2.17E-08,info,8.38E-07,1.31E-07,130.9,,0
,'01111,100% (200/200),2.81E-08,info,1.03E-06,1.57E-07,156.9,,0
,'11111,100% (200/200),2.45E-08,info,9.61E-07,1.46E-07,145.9,,0
S3,,,,,,,0,,
,'000,100% (200/200),2.29E-08,info,6.80E-07,1.15E-07,115,,0
,'100,100% (200/200),2.25E-08,info,8.03E-07,1.30E-07,129.8,,0
,'010,100% (200/200),2.21E-08,info,7.48E-07,1.22E-07,122.4,,0
,'110,100% (200/200),2.22E-08,info,8.10E-07,1.31E-07,131,,0
,'001,100% (200/200),2.06E-08,info,7.82E-07,1.24E-07,124.3,,0
,'101,100% (200/200),1.94E-08,info,7.30E-07,1.17E-07,117.2,,0
,'011,100% (200/200),2.53E-08,info,8.00E-07,1.30E-07,130.4,,0
,'111,100% (200/200),2.01E-08,info,7.45E-07,1.19E-07,119,,0
