Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
Yield Estimate: 100 %(200 passed/200 pts)     Confidence Level: <not set>   Filter: <not set>,,,,,,,,,
S1,,,,,,,,,
,1-000,100% (200/200),3.49E-08,info,1.11E-06,1.86E-07,185.9,,0
,'100,100% (200/200),3.58E-08,info,1.23E-06,2.03E-07,203.1,,0
,'010,100% (200/200),3.51E-08,info,1.17E-06,1.94E-07,193.5,,0
,'110,100% (200/200),4.40E-08,info,1.42E-06,2.29E-07,228.6,,0
,'001,100% (200/200),3.84E-08,info,1.21E-06,2.02E-07,202,,0
,'101,100% (200/200),4.13E-08,info,1.48E-06,2.35E-07,234.7,,0
,'011,100% (200/200),3.90E-08,info,1.35E-06,2.15E-07,214.6,,0
,'111,100% (200/200),4.22E-08,info,1.37E-06,2.19E-07,219.3,,0
S2,,,,,,,0,,
,'00000,100% (200/200),2.68E-08,info,8.53E-07,1.40E-07,139.5,,0
,'10000,100% (200/200),2.36E-08,info,8.60E-07,1.37E-07,137.4,,0
,'01000,100% (200/200),2.42E-08,info,8.67E-07,1.39E-07,139.1,,0
,'11000,100% (200/200),2.58E-08,info,9.30E-07,1.49E-07,148.9,,0
,'00100,100% (200/200),2.59E-08,info,8.58E-07,1.39E-07,139,,0
,'10100,100% (200/200),2.33E-08,info,8.67E-07,1.39E-07,138.5,,0
,'01100,100% (200/200),2.84E-08,info,9.07E-07,1.45E-07,145,,0
,'11100,100% (200/200),2.65E-08,info,9.63E-07,1.49E-07,148.8,,0
,'00010,100% (200/200),3.05E-08,info,9.18E-07,1.55E-07,154.5,,0
,'10010,100% (200/200),2.32E-08,info,7.98E-07,1.32E-07,132.2,,0
,'01010,100% (200/200),2.38E-08,info,8.05E-07,1.34E-07,134,,0
,'11010,100% (200/200),2.53E-08,info,8.58E-07,1.39E-07,139.4,,0
,'00110,100% (200/200),2.54E-08,info,7.96E-07,1.34E-07,133.9,,0
,'10110,100% (200/200),2.28E-08,info,8.05E-07,1.33E-07,133.4,,0
,'01110,100% (200/200),3.04E-08,info,1.04E-06,1.63E-07,163.2,,0
,'11110,100% (200/200),2.62E-08,info,9.70E-07,1.50E-07,149.9,,0
,'00001,100% (200/200),2.84E-08,info,9.16E-07,1.49E-07,149.3,,0
,'10001,100% (200/200),2.36E-08,info,8.60E-07,1.37E-07,137.4,,0
,'01001,100% (200/200),2.42E-08,info,8.67E-07,1.39E-07,139.1,,0
,'11001,100% (200/200),2.58E-08,info,9.30E-07,1.49E-07,148.9,,0
,'00101,100% (200/200),2.59E-08,info,8.58E-07,1.39E-07,139,,0
,'10101,100% (200/200),2.33E-08,info,8.67E-07,1.39E-07,138.5,,0
,'01101,100% (200/200),2.89E-08,info,9.74E-07,1.54E-07,153.5,,0
,'11101,100% (200/200),2.62E-08,info,9.70E-07,1.50E-07,149.9,,0
,'00011,100% (200/200),3.17E-08,info,9.08E-07,1.50E-07,150.4,,0
,'10011,100% (200/200),2.38E-08,info,8.48E-07,1.35E-07,135.3,,0
,'01011,100% (200/200),2.42E-08,info,8.55E-07,1.37E-07,136.8,,0
,'11011,100% (200/200),2.56E-08,info,9.08E-07,1.42E-07,142.1,,0
,'00111,100% (200/200),2.57E-08,info,8.45E-07,1.37E-07,136.5,,0
,'10111,100% (200/200),2.30E-08,info,8.55E-07,1.36E-07,136,,0
,'01111,100% (200/200),2.94E-08,info,1.04E-06,1.62E-07,162,,0
,'11111,100% (200/200),2.58E-08,info,9.77E-07,1.51E-07,151,,0
S3,,,,,,,0,,
,'000,100% (200/200),2.27E-08,info,6.96E-07,1.19E-07,118.8,,0
,'100,100% (200/200),2.38E-08,info,8.20E-07,1.35E-07,134.9,,0
,'010,100% (200/200),2.34E-08,info,7.01E-07,1.25E-07,125.4,,0
,'110,100% (200/200),2.35E-08,info,8.27E-07,1.36E-07,136.1,,0
,'001,100% (200/200),2.19E-08,info,7.35E-07,1.27E-07,127.3,,0
,'101,100% (200/200),2.07E-08,info,7.46E-07,1.22E-07,122.3,,0
,'011,100% (200/200),2.66E-08,info,8.16E-07,1.36E-07,135.5,,0
,'111,100% (200/200),2.14E-08,info,7.61E-07,1.24E-07,124.1,,0
